timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1418755480585501,6,51.760566,-1.261323,69.839729,3.050979,2.125415,6.700440,5735838.362927,619992.616853,-69.839729,30U
1418755480785272,6,51.760566,-1.261322,69.851683,3.050922,2.125412,6.700590,5735838.358678,619992.624848,-69.851683,30U
1418755480985043,6,51.760566,-1.261323,69.812916,3.050870,2.125380,6.700622,5735838.352876,619992.618057,-69.812916,30U
1418755481184814,6,51.760566,-1.261322,69.833340,3.050767,2.125298,6.700536,5735838.344453,619992.622421,-69.833340,30U
1418755481384584,6,51.760566,-1.261322,69.871394,3.050744,2.125321,6.700784,5735838.347073,619992.626589,-69.871394,30U
1418755481584355,6,51.760565,-1.261322,69.883577,3.050702,2.125376,6.701093,5735838.334015,619992.629090,-69.883577,30U
1418755481784126,6,51.760565,-1.261322,69.918280,3.050632,2.125383,6.701266,5735838.333693,619992.629408,-69.918280,30U
1418755481983897,6,51.760566,-1.261322,69.897718,3.050573,2.125348,6.701296,5735838.342528,619992.623929,-69.897718,30U
1418755482183667,6,51.760566,-1.261322,69.930219,3.050517,2.125330,6.701402,5735838.341866,619992.631302,-69.930219,30U
1418755482383438,6,51.760566,-1.261322,69.933248,3.050514,2.125365,6.701632,5735838.353197,619992.622319,-69.933248,30U
1418755482583209,6,51.760566,-1.261323,69.923141,3.050427,2.125353,6.701717,5735838.353864,619992.619623,-69.923141,30U
1418755482782980,6,51.760566,-1.261323,69.933709,3.050406,2.125369,6.701939,5735838.349529,619992.617682,-69.933709,30U
1418755482982750,6,51.760566,-1.261322,69.948921,3.050306,2.125374,6.702133,5735838.349281,619992.631959,-69.948921,30U
1418755483182521,6,51.760566,-1.261322,69.945069,3.050246,2.125379,6.702303,5735838.357660,619992.638186,-69.945069,30U
1418755483382292,6,51.760566,-1.261322,69.935434,3.050208,2.125374,6.702431,5735838.363098,619992.646242,-69.935434,30U
1418755483582063,6,51.760566,-1.261322,69.910713,3.050137,2.125326,6.702456,5735838.360093,619992.638183,-69.910713,30U
1418755483781834,6,51.760566,-1.261322,69.907022,3.050092,2.125331,6.702572,5735838.350387,619992.639001,-69.907022,30U
